id,slug,name,name_zh,author,publisher,year,type,level,status,description,sort_order,original_fields,scan_source,proofread_note
26,Ku_ieh_Lu_Tit_Ki_Kua_San_Bu_Zur_Ki,KŪ-IEH LÙ-TIT KÌ KUÃ SÀN-BÚ-ZṲ KÌ CHIĒⁿ Ẽ NÕ-KŃG — E̍K-TSÒ TIÊ-CHIU PE̍H-UĒ,舊約路得記到撒母耳記（上下二卷）：譯做潮州白話,John Campbell Gibson（[英]汲約翰）; P. J. Maclagan（[英]安飽德）,汕頭：禮拜堂 HÔNG-SOH-HṲN 印,1915,scripture,SS,public_domain,汲約翰、安飽德修訂。澳洲國立圖書館藏（Spillett 964），由 Dr. Kenny Wang 翻拍數位化。[FHL.net](https://bible.fhl.net/gbdoc/ob/nob.html?book=146),26,puj,由 Dr. Kenny Wang 翻拍數位化，影像著作權歸其所有,
27,Tie_Siann_Tsap_Ngou_Im,字學問津·潮聲十五音,字學問津·潮聲十五音,張世珍,汕頭文明商務書局,1913,dictionary,SS,public_domain,,27,han,,
28,Tie_Suann_Tsu_Im_Ji_Chip,潮汕注音字集,潮汕注音字集,陳復衡,汕頭大潮社,1928,dictionary,SS,public_domain,採用注音符號標注潮州讀音。,28,han,,
29,Tie_Im_Ji_Lui_Pian_Tsiann,潮音字類辨正,潮音字類辨正,陳凌千,汕頭育新書社,1931,dictionary,SS,public_domain,陳凌千早期著作，辨正潮音字類。,29,han,,
30,Tie_Suann_Kiam_Im_Ji_Piou,潮汕檢音字表,潮汕檢音字表,潘載和,汕頭育新書社,1933,dictionary,SS,public_domain,最早按部首編排的潮音字表。收字近八千，僅注字音不列釋義。,30,han,,
31,Tie_Suann_Ji_Tian,潮汕字典,潮汕字典,陳凌千,汕頭育新書社,1935,dictionary,SS,public_domain,第一部現代部首筆畫潮音字典。于右任題籤。至1946年再版17次，印數近70萬冊。[Wikimedia Commons](https://upload.wikimedia.org/wikipedia/commons/d/d8/%E6%BD%AE%E6%B1%95%E5%AD%97%E5%85%B8.pdf),31,han,,
32,Tie_Suann_Huang_Ngan,潮汕方言,潮汕方言,翁輝東,,1943,dictionary,SS,public_domain,十六卷，1943年弢廬鉛印本。潮汕方言詞語考釋專著。,32,han,,
33,Tie_Suann_Kua_Iau_Chip,潮汕歌謠集,潮汕歌謠集,丘玉麟選注,廣東人民出版社,1958,folk,SS,public_domain,收錄潮汕流傳較廣的歌謠243首。,33,han,,
34,Tie_Suann_Tsap_Ngou_Im,潮汕十五音,潮汕十五音,鳴平,汕頭嶺東出版社,1938,dictionary,SS,public_domain,研究十五音的字典。,34,han,,
35,Tie_Gur_Tsap_Ngou_Im,潮語十五音,潮語十五音,蔣儒林,上海錦章書局,1931,dictionary,SS,public_domain,字學津梁叢書之一，在《潮聲十五音》基礎上修訂而成，全書四卷。,35,han,,
